Incident_ID,Category,Factor_Affected,Count_Factors,Description
I00006,category I,C4;C8;C10;C5,4,Synth incident with 4 factors
I00104,category I,C9;C5;C11,3,Synth incident with 3 factors
I00069,category I,C7,1,Synth incident with 1 factors
I00150,category I,C13;C4;C12;C8;C11;C10;C1;C9,8,Synth incident with 8 factors
I00118,category I,C10;C6;C8;C14;C9,5,Synth incident with 5 factors
I00155,category I,,0,Synth incident with 0 factors
I00098,category I,C10;C5,2,Synth incident with 2 factors
I00089,category I,C10;C12;C3;C4,4,Synth incident with 4 factors
I00022,category I,C4;C11;C8,3,Synth incident with 3 factors
I00132,category I,C1;C5,2,Synth incident with 2 factors
I00116,category I,C4;C3;C12;C9,4,Synth incident with 4 factors
I00025,category I,C4;C3;C9,3,Synth incident with 3 factors
I00123,category I,C4;C2;C7;C12;C6;C9,6,Synth incident with 6 factors
I00130,category I,C3;C8;C14;C10;C9;C1,6,Synth incident with 6 factors
I00068,category I,C10;C14,2,Synth incident with 2 factors
I00142,category I,C13;C1;C6;C9;C7,5,Synth incident with 5 factors
I00036,category I,C2,1,Synth incident with 1 factors
I00127,category I,C9;C12;C13;C14,4,Synth incident with 4 factors
I00125,category I,C13;C10;C12;C1,4,Synth incident with 4 factors
I00095,category I,C1;C11,2,Synth incident with 2 factors
I00109,category I,C8;C11;C4;C9,4,Synth incident with 4 factors
I00096,category I,C5;C2;C14,3,Synth incident with 3 factors
I00097,category I,C11;C9;C6;C1,4,Synth incident with 4 factors
I00083,category I,C3;C12;C8,3,Synth incident with 3 factors
I00110,category I,C11;C2,2,Synth incident with 2 factors
I00115,category I,C11;C12,2,Synth incident with 2 factors
I00047,category I,C2;C9;C4,3,Synth incident with 3 factors
I00087,category I,C13;C1;C6,3,Synth incident with 3 factors
I00086,category I,C7;C3,2,Synth incident with 2 factors
I00133,category I,C8;C6,2,Synth incident with 2 factors
I00149,category I,C2;C4;C12,3,Synth incident with 3 factors
I00066,category I,C10,1,Synth incident with 1 factors
I00091,category I,C13;C7;C11,3,Synth incident with 3 factors
I00139,category I,C12;C2;C3;C5;C13;C1,6,Synth incident with 6 factors
I00102,category I,C6;C7,2,Synth incident with 2 factors
I00107,category I,C5,1,Synth incident with 1 factors
I00144,category I,C14,1,Synth incident with 1 factors
I00084,category I,C9;C1;C2;C12,4,Synth incident with 4 factors
I00141,category I,C14;C11;C10,3,Synth incident with 3 factors
I00018,category I,C9;C12,2,Synth incident with 2 factors
I00158,category I,,0,Synth incident with 0 factors
I00042,category I,C12;C5,2,Synth incident with 2 factors
I00090,category I,C7;C1,2,Synth incident with 2 factors
I00035,category I,C10,1,Synth incident with 1 factors
I00128,category I,C8;C4,2,Synth incident with 2 factors
I00085,category I,C9;C1,2,Synth incident with 2 factors
I00094,category I,C4;C14;C8;C6,4,Synth incident with 4 factors
I00043,category I,C8;C9;C14,3,Synth incident with 3 factors
I00064,category I,C10,1,Synth incident with 1 factors
I00041,category I,C9;C10;C7,3,Synth incident with 3 factors
I00051,category I,C7;C14;C8,3,Synth incident with 3 factors
I00017,category I,C12;C11;C13,3,Synth incident with 3 factors
I00114,category I,C4;C12;C13;C7;C8,5,Synth incident with 5 factors
I00119,category I,C3;C12;C8;C13,4,Synth incident with 4 factors
I00005,category I,C9,1,Synth incident with 1 factors
I00030,category I,C11,1,Synth incident with 1 factors
I00147,category I,C2;C5;C8;C4;C12;C7;C6;C1;C11;C3;C14;C10;C9,13,Synth incident with 13 factors
I00045,category I,C10;C4,2,Synth incident with 2 factors
I00156,category I,,0,Synth incident with 0 factors
I00137,category I,C3;C4;C14;C8;C2,5,Synth incident with 5 factors
I00019,category I,C7;C5;C11;C9,4,Synth incident with 4 factors
I00113,category I,C14;C13;C2;C8;C7,5,Synth incident with 5 factors
I00003,category I,C10,1,Synth incident with 1 factors
I00038,category I,C2,1,Synth incident with 1 factors
I00122,category I,C4;C7,2,Synth incident with 2 factors
I00105,category I,C12;C5;C9;C3,4,Synth incident with 4 factors
I00053,category I,C1,1,Synth incident with 1 factors
I00001,category I,C1,1,Synth incident with 1 factors
I00082,category I,C1,1,Synth incident with 1 factors
I00108,category I,C13;C10;C14;C11,4,Synth incident with 4 factors
I00023,category I,C3;C5;C14;C4,4,Synth incident with 4 factors
I00151,category I,C12,1,Synth incident with 1 factors
I00021,category I,C7;C5;C2,3,Synth incident with 3 factors
I00099,category I,C6;C12;C14;C7,4,Synth incident with 4 factors
I00034,category I,C3;C6,2,Synth incident with 2 factors
I00028,category I,C7,1,Synth incident with 1 factors
I00027,category I,C13;C11,2,Synth incident with 2 factors
I00013,category I,C12;C2,2,Synth incident with 2 factors
I00157,category I,,0,Synth incident with 0 factors
I00008,category I,C4;C13,2,Synth incident with 2 factors
