Incident_ID,Category,Factor_Affected,Count_Factors,Description
J00113,category I 2nd,C13;C5,2,Synth incident with 2 factors
J00078,category I 2nd,C3;C9,2,Synth incident with 2 factors
J00046,category I 2nd,C10,1,Synth incident with 1 factors
J00035,category I 2nd,C6;C14;C7,3,Synth incident with 3 factors
J00092,category I 2nd,C7;C6;C11,3,Synth incident with 3 factors
J00016,category I 2nd,C7;C4,2,Synth incident with 2 factors
J00026,category I 2nd,C14;C2;C8,3,Synth incident with 3 factors
J00064,category I 2nd,C5,1,Synth incident with 1 factors
J00045,category I 2nd,C1;C10;C11,3,Synth incident with 3 factors
J00115,category I 2nd,C3;C14;C7;C9,4,Synth incident with 4 factors
J00093,category I 2nd,C11;C8,2,Synth incident with 2 factors
J00043,category I 2nd,C10;C6;C14;C5,4,Synth incident with 4 factors
J00098,category I 2nd,C11;C8,2,Synth incident with 2 factors
J00082,category I 2nd,C9;C2;C12;C13,4,Synth incident with 4 factors
J00032,category I 2nd,C4;C12;C2,3,Synth incident with 3 factors
J00121,category I 2nd,C13;C10,2,Synth incident with 2 factors
J00051,category I 2nd,C10,1,Synth incident with 1 factors
J00041,category I 2nd,C11;C7;C12,3,Synth incident with 3 factors
J00087,category I 2nd,C10;C3;C2,3,Synth incident with 3 factors
J00067,category I 2nd,C10;C12;C13;C3,4,Synth incident with 4 factors
J00062,category I 2nd,C11,1,Synth incident with 1 factors
J00111,category I 2nd,C11;C5;C1;C4;C7,5,Synth incident with 5 factors
J00059,category I 2nd,C6;C11;C12;C13,4,Synth incident with 4 factors
J00091,category I 2nd,C6;C8;C7;C12,4,Synth incident with 4 factors
J00119,category I 2nd,C10;C7;C12;C11,4,Synth incident with 4 factors
J00114,category I 2nd,C1,1,Synth incident with 1 factors
J00056,category I 2nd,C13;C4,2,Synth incident with 2 factors
J00002,category I 2nd,C8,1,Synth incident with 1 factors
J00014,category I 2nd,C8;C12,2,Synth incident with 2 factors
J00001,category I 2nd,C3;C10;C7,3,Synth incident with 3 factors
J00141,category I 2nd,,0,Synth incident with 0 factors
J00023,category I 2nd,C4;C13;C7;C1,4,Synth incident with 4 factors
J00054,category I 2nd,C14;C3;C5,3,Synth incident with 3 factors
J00015,category I 2nd,C7;C8;C13,3,Synth incident with 3 factors
J00104,category I 2nd,C4;C7;C13;C8;C6,5,Synth incident with 5 factors
J00123,category I 2nd,C7;C9;C2;C14;C5,5,Synth incident with 5 factors
J00127,category I 2nd,C5;C4,2,Synth incident with 2 factors
J00072,category I 2nd,C2;C11;C4;C13,4,Synth incident with 4 factors
J00102,category I 2nd,C13;C5;C6;C12;C1;C3,6,Synth incident with 6 factors
J00133,category I 2nd,C10;C9;C7;C8;C14;C13;C1;C4;C5,9,Synth incident with 9 factors
J00074,category I 2nd,C3;C13,2,Synth incident with 2 factors
J00116,category I 2nd,C9;C11;C6;C2;C7,5,Synth incident with 5 factors
J00019,category I 2nd,C12;C5;C10,3,Synth incident with 3 factors
J00008,category I 2nd,C7;C1;C4;C9,4,Synth incident with 4 factors
J00096,category I 2nd,C2;C7;C6;C11;C13;C1,6,Synth incident with 6 factors
J00007,category I 2nd,C11,1,Synth incident with 1 factors
J00036,category I 2nd,C10;C11;C3;C12,4,Synth incident with 4 factors
J00084,category I 2nd,C10;C1,2,Synth incident with 2 factors
J00071,category I 2nd,C1;C7;C5,3,Synth incident with 3 factors
J00042,category I 2nd,C4;C7;C8,3,Synth incident with 3 factors
J00004,category I 2nd,C7;C12;C8,3,Synth incident with 3 factors
J00089,category I 2nd,C8;C9;C10,3,Synth incident with 3 factors
J00009,category I 2nd,C11;C8;C1;C4,4,Synth incident with 4 factors
J00139,category I 2nd,,0,Synth incident with 0 factors
J00052,category I 2nd,C2;C5,2,Synth incident with 2 factors
J00129,category I 2nd,C13;C11,2,Synth incident with 2 factors
J00079,category I 2nd,C11,1,Synth incident with 1 factors
J00011,category I 2nd,C2;C1;C11;C10,4,Synth incident with 4 factors
J00027,category I 2nd,C1;C12;C3;C7,4,Synth incident with 4 factors
J00132,category I 2nd,C11,1,Synth incident with 1 factors
J00033,category I 2nd,C8,1,Synth incident with 1 factors
J00094,category I 2nd,C2,1,Synth incident with 1 factors
J00050,category I 2nd,C5,1,Synth incident with 1 factors
J00075,category I 2nd,C14,1,Synth incident with 1 factors
J00060,category I 2nd,C14;C11;C6;C2,4,Synth incident with 4 factors
J00076,category I 2nd,C10;C4,2,Synth incident with 2 factors
J00048,category I 2nd,C11;C4,2,Synth incident with 2 factors
J00103,category I 2nd,C11;C7;C2;C3;C1,5,Synth incident with 5 factors
J00061,category I 2nd,C1;C10;C9;C6,4,Synth incident with 4 factors
J00109,category I 2nd,C4;C13;C9,3,Synth incident with 3 factors
J00120,category I 2nd,C7,1,Synth incident with 1 factors
J00069,category I 2nd,C5;C1;C12;C6,4,Synth incident with 4 factors
J00030,category I 2nd,C14;C11;C9,3,Synth incident with 3 factors
J00058,category I 2nd,C5,1,Synth incident with 1 factors
J00136,category I 2nd,C1,1,Synth incident with 1 factors
J00081,category I 2nd,C1;C3;C5,3,Synth incident with 3 factors
J00031,category I 2nd,C14;C9;C1;C10,4,Synth incident with 4 factors
J00110,category I 2nd,C2;C5;C11;C12,4,Synth incident with 4 factors
J00053,category I 2nd,C3;C4;C14;C9,4,Synth incident with 4 factors
J00006,category I 2nd,C5;C6;C2,3,Synth incident with 3 factors
J00057,category I 2nd,C14;C13;C9;C6,4,Synth incident with 4 factors
J00131,category I 2nd,C5;C10;C1;C6;C9;C2;C14;C4;C7;C12;C8;C13,12,Synth incident with 12 factors
J00124,category I 2nd,C6;C13,2,Synth incident with 2 factors
J00108,category I 2nd,C11;C7;C8;C10,4,Synth incident with 4 factors
J00137,category I 2nd,C8,1,Synth incident with 1 factors
J00100,category I 2nd,C4;C13;C7;C9;C10,5,Synth incident with 5 factors
J00049,category I 2nd,C11;C2,2,Synth incident with 2 factors
J00077,category I 2nd,C13;C3;C10,3,Synth incident with 3 factors
J00126,category I 2nd,C12;C11;C3,3,Synth incident with 3 factors
J00130,category I 2nd,C10;C13;C14;C8;C12;C6;C9;C2;C4;C1;C11;C7,12,Synth incident with 12 factors
J00106,category I 2nd,C3,1,Synth incident with 1 factors
J00128,category I 2nd,C13;C14,2,Synth incident with 2 factors
J00005,category I 2nd,C14;C13;C9;C1,4,Synth incident with 4 factors
J00118,category I 2nd,C14,1,Synth incident with 1 factors
J00070,category I 2nd,C4;C6;C2;C11,4,Synth incident with 4 factors
J00140,category I 2nd,,0,Synth incident with 0 factors
J00013,category I 2nd,C2;C4;C14;C8,4,Synth incident with 4 factors
J00038,category I 2nd,C8;C11,2,Synth incident with 2 factors
J00010,category I 2nd,C5;C8,2,Synth incident with 2 factors
J00020,category I 2nd,C14;C3;C8;C9,4,Synth incident with 4 factors
J00018,category I 2nd,C13;C9;C5,3,Synth incident with 3 factors
J00029,category I 2nd,C10;C12;C7,3,Synth incident with 3 factors
J00144,category I 2nd,,0,Synth incident with 0 factors
J00063,category I 2nd,C11;C7;C2,3,Synth incident with 3 factors
J00142,category I 2nd,,0,Synth incident with 0 factors
J00044,category I 2nd,C14,1,Synth incident with 1 factors
J00028,category I 2nd,C2;C8,2,Synth incident with 2 factors
J00024,category I 2nd,C12;C13;C7;C14,4,Synth incident with 4 factors
J00040,category I 2nd,C2;C8,2,Synth incident with 2 factors
J00112,category I 2nd,C4,1,Synth incident with 1 factors
J00003,category I 2nd,C6;C11;C2,3,Synth incident with 3 factors
J00047,category I 2nd,C13;C14;C4,3,Synth incident with 3 factors
J00066,category I 2nd,C7;C8,2,Synth incident with 2 factors
J00055,category I 2nd,C12;C6;C2,3,Synth incident with 3 factors
J00125,category I 2nd,C11;C2;C9;C12;C4,5,Synth incident with 5 factors
J00083,category I 2nd,C9;C10;C2,3,Synth incident with 3 factors
J00012,category I 2nd,C5;C9,2,Synth incident with 2 factors
J00068,category I 2nd,C14,1,Synth incident with 1 factors
J00117,category I 2nd,C7,1,Synth incident with 1 factors
J00088,category I 2nd,C11;C10;C9;C6;C7,5,Synth incident with 5 factors
J00095,category I 2nd,C12;C6;C3;C9;C1;C11,6,Synth incident with 6 factors
J00122,category I 2nd,C2;C7;C14,3,Synth incident with 3 factors
J00107,category I 2nd,C11,1,Synth incident with 1 factors
J00135,category I 2nd,C12;C2,2,Synth incident with 2 factors
J00138,category I 2nd,C6,1,Synth incident with 1 factors
J00017,category I 2nd,C14;C2,2,Synth incident with 2 factors
J00105,category I 2nd,C12;C6;C10,3,Synth incident with 3 factors
J00085,category I 2nd,C5;C8;C11;C1;C12,5,Synth incident with 5 factors
J00097,category I 2nd,C6;C2;C10,3,Synth incident with 3 factors
J00134,category I 2nd,C10;C8;C9;C3;C1,5,Synth incident with 5 factors
J00022,category I 2nd,C14;C4;C12,3,Synth incident with 3 factors
J00034,category I 2nd,C1;C14;C6,3,Synth incident with 3 factors
J00101,category I 2nd,C9;C1;C10;C11;C5;C13,6,Synth incident with 6 factors
J00080,category I 2nd,C1;C6,2,Synth incident with 2 factors
J00090,category I 2nd,C2;C11;C13;C9;C4;C7,6,Synth incident with 6 factors
J00037,category I 2nd,C10;C11;C4;C8,4,Synth incident with 4 factors
J00021,category I 2nd,C9;C13;C14,3,Synth incident with 3 factors
J00086,category I 2nd,C11;C2;C8;C12,4,Synth incident with 4 factors
J00039,category I 2nd,C11;C1;C8,3,Synth incident with 3 factors
J00065,category I 2nd,C4,1,Synth incident with 1 factors
J00073,category I 2nd,C1,1,Synth incident with 1 factors
J00099,category I 2nd,C14;C9;C6,3,Synth incident with 3 factors
J00143,category I 2nd,,0,Synth incident with 0 factors
J00025,category I 2nd,C8;C1,2,Synth incident with 2 factors
